harness,dataset,index,params,k,recall_at_k,mean_latency_us,p95_latency_us,build_seconds,index_bytes,base_bytes,queries,runs,timestamp
java,SIFT1M,"hnsw(M=8,efC=100,ef=16)","M=8,efC=100,ef=16",10,0.703500,21.481,29.708,90.790,81163696,512000000,10000,3,2026-09-04T09:29:15.552509Z
java,SIFT1M,"hnsw(M=8,efC=100,ef=32)","M=8,efC=100,ef=32",10,0.826860,34.417,44.792,90.790,81163696,512000000,10000,3,2026-09-04T09:29:16.632951Z
java,SIFT1M,"hnsw(M=8,efC=100,ef=64)","M=8,efC=100,ef=64",10,0.912570,58.847,72.541,90.790,81163696,512000000,10000,3,2026-09-04T09:29:18.470731Z
java,SIFT1M,"hnsw(M=8,efC=100,ef=128)","M=8,efC=100,ef=128",10,0.961540,105.784,127.666,90.790,81163696,512000000,10000,3,2026-09-04T09:29:21.767784Z
java,SIFT1M,"hnsw(M=8,efC=100,ef=256)","M=8,efC=100,ef=256",10,0.985030,192.617,232.833,90.790,81163696,512000000,10000,3,2026-09-04T09:29:27.765314Z
java,SIFT1M,"hnsw(M=8,efC=100,ef=512)","M=8,efC=100,ef=512",10,0.994230,359.087,435.917,90.790,81163696,512000000,10000,3,2026-09-04T09:29:38.908122Z
java,SIFT1M,"hnsw(M=8,efC=200,ef=16)","M=8,efC=200,ef=16",10,0.714580,22.155,30.375,169.210,81163696,512000000,10000,3,2026-09-04T09:32:28.984351Z
java,SIFT1M,"hnsw(M=8,efC=200,ef=32)","M=8,efC=200,ef=32",10,0.836520,35.651,46.084,169.210,81163696,512000000,10000,3,2026-09-04T09:32:30.097743Z
java,SIFT1M,"hnsw(M=8,efC=200,ef=64)","M=8,efC=200,ef=64",10,0.922040,60.762,74.042,169.210,81163696,512000000,10000,3,2026-09-04T09:32:31.994197Z
java,SIFT1M,"hnsw(M=8,efC=200,ef=128)","M=8,efC=200,ef=128",10,0.968610,109.071,130.583,169.210,81163696,512000000,10000,3,2026-09-04T09:32:35.387515Z
java,SIFT1M,"hnsw(M=8,efC=200,ef=256)","M=8,efC=200,ef=256",10,0.988660,200.989,241.542,169.210,81163696,512000000,10000,3,2026-09-04T09:32:41.647637Z
java,SIFT1M,"hnsw(M=8,efC=200,ef=512)","M=8,efC=200,ef=512",10,0.995730,371.888,450.750,169.210,81163696,512000000,10000,3,2026-09-04T09:32:53.198985Z
java,SIFT1M,"hnsw(M=8,efC=400,ef=16)","M=8,efC=400,ef=16",10,0.719110,22.785,31.584,310.668,81163696,512000000,10000,3,2026-09-04T09:38:04.756819Z
java,SIFT1M,"hnsw(M=8,efC=400,ef=32)","M=8,efC=400,ef=32",10,0.841610,37.342,48.500,310.668,81163696,512000000,10000,3,2026-09-04T09:38:05.922708Z
java,SIFT1M,"hnsw(M=8,efC=400,ef=64)","M=8,efC=400,ef=64",10,0.926480,63.111,78.458,310.668,81163696,512000000,10000,3,2026-09-04T09:38:07.889447Z
java,SIFT1M,"hnsw(M=8,efC=400,ef=128)","M=8,efC=400,ef=128",10,0.971840,112.516,134.959,310.668,81163696,512000000,10000,3,2026-09-04T09:38:11.394603Z
java,SIFT1M,"hnsw(M=8,efC=400,ef=256)","M=8,efC=400,ef=256",10,0.990470,208.284,250.959,310.668,81163696,512000000,10000,3,2026-09-04T09:38:17.860430Z
java,SIFT1M,"hnsw(M=8,efC=400,ef=512)","M=8,efC=400,ef=512",10,0.996760,380.050,457.917,310.668,81163696,512000000,10000,3,2026-09-04T09:38:29.644556Z
java,SIFT1M,"hnsw(M=16,efC=100,ef=16)","M=16,efC=100,ef=16",10,0.793800,31.199,43.250,110.625,144568308,512000000,10000,3,2026-09-04T09:40:21.449323Z
java,SIFT1M,"hnsw(M=16,efC=100,ef=32)","M=16,efC=100,ef=32",10,0.896800,49.163,64.458,110.625,144568308,512000000,10000,3,2026-09-04T09:40:22.983129Z
java,SIFT1M,"hnsw(M=16,efC=100,ef=64)","M=16,efC=100,ef=64",10,0.959090,84.471,108.083,110.625,144568308,512000000,10000,3,2026-09-04T09:40:25.611586Z
java,SIFT1M,"hnsw(M=16,efC=100,ef=128)","M=16,efC=100,ef=128",10,0.986480,150.015,193.125,110.625,144568308,512000000,10000,3,2026-09-04T09:40:30.275424Z
java,SIFT1M,"hnsw(M=16,efC=100,ef=256)","M=16,efC=100,ef=256",10,0.996090,271.390,350.875,110.625,144568308,512000000,10000,3,2026-09-04T09:40:38.693384Z
